item,n
artisan,1
asian,3
bacon,13
bbq,6
big,1
burger,7
buttermilk,7
cheddar,3
cheese,2
cheeseburger,2
chicken,36
classic,1
crispy,17
deluxe,2
dijon,3
double,3
filetofish,1
garlic,3
glazed,3
grilled,10
guacamole,3
hamburger,1
honey,3
lb,3
lobster,1
mac,1
maple,3
mcchicken,1
mcdouble,1
mcnuggets,5
mcrib,1
pico,3
piece,14
pounder,2
premium,11
quarter,2
ranch,3
roll,1
salad,9
sandwich,16
signature,3
single,1
smokehouse,4
southwest,3
spicy,3
sriracha,3
sweet,6
tenders,9
white,3
with,2
wo,3
